FileSize,512m,1g,2g,4g,8g,512m_merkle,1g_merkle,2g_merkle,4g_merkle,8g_merkle
attempt_0,22559,27396,36695,60254,113230,4457,8299,16042,31582,62439
attempt_1,22818,27209,57115,58585,107710,4392,8279,16034,31747,62808
attempt_2,22508,27220,39600,59547,108355,4459,8322,16051,31634,64447
attempt_3,22555,73339,45394,63804,105879,4461,8297,15993,31622,62837
attempt_4,47538,27386,37516,59378,109015,4462,8288,16111,31700,62677
attempt_5,56504,27174,37608,61608,109270,4446,8303,16022,31603,62748
attempt_6,22482,27275,37199,78823,104711,4423,8232,16107,31453,64178
attempt_7,22484,27280,39398,61725,107232,4431,8318,15991,31583,62602
attempt_8,22576,27332,36566,60399,106619,4433,8285,15917,31763,62718
attempt_9,23394,52275,46884,60499,108561,4413,8298,16362,31847,62670
