FileSize,512m,1g,2g,4g,8g,512m_merkle,1g_merkle,2g_merkle,4g_merkle,8g_merkle
attempt_0,22392,62923,39677,100242,99881,4190,7730,15272,29068,59002
attempt_1,22237,46748,37440,57587,156062,4144,7798,15091,29465,57787
attempt_2,22285,26728,35465,58527,135689,4135,7885,14955,29484,57919
attempt_3,22270,26671,37024,58950,98803,4120,7766,15042,29466,57630
attempt_4,22357,26888,35540,57279,101625,4151,7726,14949,29218,57994
attempt_5,22369,27225,36558,57736,99822,4117,7756,14931,29558,57918
attempt_6,22154,26717,36132,56902,98609,4126,7823,15004,29097,57492
attempt_7,22317,26755,35488,58299,98348,4130,7743,15006,29185,57825
attempt_8,40622,27610,36332,57254,97796,4121,7670,15022,29183,57742
attempt_9,37230,26586,70440,58967,100454,4115,7748,14925,29299,57617
