FileSize,512m,1g,2g,4g,8g,512m_merkle,1g_merkle,2g_merkle,4g_merkle,8g_merkle
attempt_0,22393,27291,39755,92439,104854,4260,8004,15500,30321,60076
attempt_1,22344,26996,36019,59413,136117,4277,7947,15397,30296,60106
attempt_2,22366,71956,36004,58217,100279,4247,7968,15501,30333,60526
attempt_3,22490,26240,41576,59170,106401,4358,7905,15377,30259,60674
attempt_4,22404,27671,41082,58797,100033,4238,8068,15537,30350,60405
attempt_5,22357,27066,37095,58438,104766,4269,8054,15488,30402,61741
attempt_6,22465,26972,37657,60416,107655,4350,8036,15360,30641,60000
attempt_7,35188,51872,37013,58424,101523,4235,7950,15815,30379,60356
attempt_8,37878,26974,36212,59602,106505,4268,7982,15574,30384,59956
attempt_9,22447,27826,61651,58233,105434,4281,7952,15503,30590,60390
