FileSize,512m,1g,2g,4g,8g,512m_merkle,1g_merkle,2g_merkle,4g_merkle,8g_merkle
not_modified,1755,2479,6264,25774,56205,0,0,0,0,0
chunk_512,23543,29978,42409,66738,113166,4840,9083,17305,34070,67662
chunk_1k,22672,27284,39651,60644,108058,4437,8292,16063,31653,63012
chunk_2k,22408,27129,38045,58967,104161,4278,7986,15505,30395,60423
chunk_4k,22324,27052,37156,58167,101155,4176,7880,15138,29742,58599
chunk_8k,22297,26897,36628,57944,99417,4134,7764,15019,29302,57892
