FileSize,512m,1g,2g,4g,8g,512m_merkle,1g_merkle,2g_merkle,4g_merkle,8g_merkle
not_modified,1755,2479,6264,25774,56205,0,0,0,0,0
chunk_512,8343,14778,27209,51538,97966,4840,9083,17305,34070,67662
chunk_1k,7472,12084,24451,45444,92858,4437,8292,16063,31653,63012
chunk_2k,7208,11929,22845,43767,88961,4278,7986,15505,30395,60423
chunk_4k,7124,11852,21956,42967,85955,4176,7880,15138,29742,58599
chunk_8k,7097,11697,21428,42744,84217,4134,7764,15019,29302,57769
